type_tool,id_result,time_to_cook,item_id,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,tool_name,result_name,ingredient_name,ingredient_tier,ingredient_cat
,,,700509,,,,,,,,,,,,,,,,,,,,,,,,,Mango,9,Fruit
,,,700303,,,,,,,,,,,,,,,,,,,,,,,,,Yogurt,3,Dairy
,,,700701,,,,,,,,,,,,,,,,,,,,,,,,,falsefalsenut Water,1,Coconut Product
,400108,772,700510,,,,,,,,,,,,,,,,,,,,,,,,Yogurt Juice mix,Pomegranate,10,Fruit
,,,700509,,,,,,,,,,,,,,,,,,,,,,,,,Mango,9,Fruit
,,,700303,,,,,,,,,,,,,,,,,,,,,,,,,Yogurt,3,Dairy
,400109,80,700507,,,,,,,,,,,,,,,,,,,,,,,,Lemon Jam,Lemon,7,Fruit
,,,700605,,,,,,,,,,,,,,,,,,,,,,,,,Honey,5,Sugar & Candy
,400301,6,700103,,,,,,,,,,,,,,,,,,,,,,,,Latte,Cup of falseffee,3,Coffee Ingredient
,,,700302,,,,,,,,,,,,,,,,,,,,,,,,,Milk Bottle,2,Dairy
,400302,14,700103,,,,,,,,,,,,,,,,,,,,,,,,Caramel Macchiato,Cup of falseffee,3,Coffee Ingredient
,,,700302,,,,,,,,,,,,,,,,,,,,,,,,,Milk Bottle,2,Dairy
,,,700604,,,,,,,,,,,,,,,,,,,,,,,,,Caramel,4,Sugar & Candy
,400303,9,700103,,,,,,,,,,,,,,,,,,,,,,,,Frappe,Cup of falseffee,3,Coffee Ingredient
,,,700302,,,,,,,,,,,,,,,,,,,,,,,,,Milk Bottle,2,Dairy
,,,700602,,,,,,,,,,,,,,,,,,,,,,,,,Sugar,2,Sugar & Candy
,,,700301,,,,,,,,,,,,,,,,,,,,,,,,,Ice Cube,1,Dairy
,400304,15,700103,,,,,,,,,,,,,,,,,,,,,,,,Iced falseffee Cream,Cup of falseffee,3,Coffee Ingredient
,,,700304,,,,,,,,,,,,,,,,,,,,,,,,,Fresh Cream,4,Dairy
,,,700602,,,,,,,,,,,,,,,,,,,,,,,,,Sugar,2,Sugar & Candy
,,,700301,,,,,,,,,,,,,,,,,,,,,,,,,Ice Cube,1,Dairy
,400305,21,700103,,,,,,,,,,,,,,,,,,,,,,,,Caramel Frappe,Cup of falseffee,3,Coffee Ingredient
,,,700304,,,,,,,,,,,,,,,,,,,,,,,,,Fresh Cream,4,Dairy
,,,700604,,,,,,,,,,,,,,,,,,,,,,,,,Caramel,4,Sugar & Candy
,,,700301,,,,,,,,,,,,,,,,,,,,,,,,,Ice Cube,1,Dairy
,400306,14,700103,,,,,,,,,,,,,,,,,,,,,,,,Mocha,Cup of falseffee,3,Coffee Ingredient
,,,701703,,,,,,,,,,,,,,,,,,,,,,,,,Cocoa sauce,3,Nut & Chocolate
,,,700302,,,,,,,,,,,,,,,,,,,,,,,,,Milk Bottle,2,Dairy
,400307,13,700103,,,,,,,,,,,,,,,,,,,,,,,,Mocha Frappe,Cup of falseffee,3,Coffee Ingredient
,,,701703,,,,,,,,,,,,,,,,,,,,,,,,,Cocoa sauce,3,Nut & Chocolate
,,,700301,,,,,,,,,,,,,,,,,,,,,,,,,Ice Cube,1,Dairy
,400601,2,701102,,,,,,,,,,,,,,,,,,,,,,,,Tomato Slices,Tomato,2,Vegetable
,400602,4,701103,,,,,,,,,,,,,,,,,,,,,,,,Onion Slices,Red Onion,3,Vegetable
,400603,1,701101,,,,,,,,,,,,,,,,,,,,,,,,Cucumber Slices,Cucumber,1,Vegetable
,400604,2,701202,,,,,,,,,,,,,,,,,,,,,,,,Shredded Lettuce,Lettuce,2,Leafy Vegetable
,400605,66,701102,,,,,,,,,,,,,,,,,,,,,,,,Caprese Salad,Tomato,2,Vegetable
,,,700307,,,,,,,,,,,,,,,,,,,,,,,,,Mozzarella,7,Dairy
,400606,266,700504,,,,,,,,,,,,,,,,,,,,,,,,Apple Blue Cheese Salad,Apple,4,Fruit
,,,701202,,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,2,Leafy Vegetable
,,,700309,,,,,,,,,,,,,,,,,,,,,,,,,Blue Cheese,9,Dairy
,400607,18,701405,,,,,,,,,,,,,,,,,,,,,,,,Shrimp falsecktail,Shrimp,5,Shellfish
,,,701202,,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,2,Leafy Vegetable
,400608,289,701106,,,,,,,,,,,,,,,,,,,,,,,,American Potato Salad,Potato,6,Vegetable
,,,701001,,,,,,,,,,,,,,,,,,,,,,,,,Chicken Egg,1,Poultry
,,,701209,,,,,,,,,,,,,,,,,,,,,,,,,Celery,9,Leafy Vegetable
,400609,28,701204,,,,,,,,,,,,,,,,,,,,,,,,Cabbage Slaw,Cabbage,4,Leafy Vegetable
,,,701103,,,,,,,,,,,,,,,,,,,,,,,,,Red Onion,3,Vegetable
,,,701105,,,,,,,,,,,,,,,,,,,,,,,,,Bell Pepper,5,Vegetable
,400610,32,701106,,,,,,,,,,,,,,,,,,,,,,,,Potato Strips,Potato,6,Vegetable
,400701,202,700507,,,,,,,,,,,,,,,,,,,,,,,,Defalsenstructed Cheesecake,Lemon,7,Fruit
,,,700308,,,,,,,,,,,,,,,,,,,,,,,,,Brie Cheese,8,Dairy
,,,700304,,,,,,,,,,,,,,,,,,,,,,,,,Fresh Cream,4,Dairy
,,,700602,,,,,,,,,,,,,,,,,,,,,,,,,Sugar,2,Sugar & Candy
,400702,45,700504,,,,,,,,,,,,,,,,,,,,,,,,Apple falsempote,Apple,4,Fruit
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,,,700201,,,,,,,,,,,,,,,,,,,,,,,,,Cốc nước lọc,1,Soft Drink
,,,700603,,,,,,,,,,,,,,,,,,,,,,,,,Brown Sugar,3,Sugar & Candy
,400703,13,700303,,,,,,,,,,,,,,,,,,,,,,,,Berry & falsefalsenut Trifle,Yogurt,3,Dairy
,,,700304,,,,,,,,,,,,,,,,,,,,,,,,,Fresh Cream,4,Dairy
,,,700501,,,,,,,,,,,,,,,,,,,,,,,,,Blueberry,1,Fruit
,400704,142,700303,,,,,,,,,,,,,,,,,,,,,,,,Passion Fruit Panna falsetta,Yogurt,3,Dairy
,,,700304,,,,,,,,,,,,,,,,,,,,,,,,,Fresh Cream,4,Dairy
,,,700508,,,,,,,,,,,,,,,,,,,,,,,,,Passion Fruit,8,Fruit
,,,700602,,,,,,,,,,,,,,,,,,,,,,,,,Sugar,2,Sugar & Candy
,400705,152,700505,,,,,,,,,,,,,,,,,,,,,,,,Banana Split,Banana,5,Fruit
,,,700608,,,,,,,,,,,,,,,,,,,,,,,,,Sfalseop of Ice Cream,8,Sugar & Candy
,,,700604,,,,,,,,,,,,,,,,,,,,,,,,,Caramel,4,Sugar & Candy
,400706,140,700308,,,,,,,,,,,,,,,,,,,,,,,,Burnt Cream,Brie Cheese,8,Dairy
,,,700304,,,,,,,,,,,,,,,,,,,,,,,,,Fresh Cream,4,Dairy
,,,700603,,,,,,,,,,,,,,,,,,,,,,,,,Brown Sugar,3,Sugar & Candy
,400708,35,400707,,,,,,,,,,,,,,,,,,,,,,,,Donut Chocolate,Donut,7,Dessert
,,,701704,,,,,,,,,,,,,,,,,,,,,,,,,Dark chocolate,4,Nut & Chocolate
,400709,21,400707,,,,,,,,,,,,,,,,,,,,,,,,Jelly Donut,Donut,7,Dessert
,,,400102,,,,,,,,,,,,,,,,,,,,,,,,,Strawberry jam,2,Yogurt & Jam
,400902,21,400802,,,,,,,,,,,,,,,,,,,,,,,,Hot Dog,Baked Hotdog Bun,2,Baked Dish
,,,400401,,,,,,,,,,,,,,,,,,,,,,,,,Grilled Sausage,1,Grilled Dish
,,,701202,,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,2,Leafy Vegetable
,400903,35,400802,,,,,,,,,,,,,,,,,,,,,,,,Cheese Dog,Baked Hotdog Bun,2,Baked Dish
,,,700305,,,,,,,,,,,,,,,,,,,,,,,,,Cheddar Cheese,5,Dairy
,,,701202,,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,2,Leafy Vegetable
,400904,24,400803,,,,,,,,,,,,,,,,,,,,,,,,Pork Burger,Baked Burger Bun,3,Baked Dish
,,,400512,,,,,,,,,,,,,,,,,,,,,,,,,Pan Fried Patty,12,Pan Dish
,,,701202,,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,2,Leafy Vegetable
,,,400601,,,,,,,,,,,,,,,,,,,,,,,,,Tomato Slices,1,Salad & Raw
,400905,39,400803,,,,,,,,,,,,,,,,,,,,,,,,Cheese Burger,Baked Burger Bun,3,Baked Dish
,,,700305,,,,,,,,,,,,,,,,,,,,,,,,,Cheddar Cheese,5,Dairy
,,,701202,,,,,,,,,,,,,,,,,,,,,,,,,Lettuce,2,Leafy Vegetable
,,,400601,,,,,,,,,,,,,,,,,,,,,,,,,Tomato Slices,1,Salad & Raw
,400913,82,400912,,,,,,,,,,,,,,,,,,,,,,,,Loaded Tots,Tator Tots,12,Fast Food
,,,700305,,,,,,,,,,,,,,,,,,,,,,,,,Cheddar Cheese,5,Dairy
,,,700302,,,,,,,,,,,,,,,,,,,,,,,,,Milk Bottle,2,Dairy
,400915,112,700305,,,,,,,,,,,,,,,,,,,,,,,,Texas Cheese Fries,Cheddar Cheese,5,Dairy
,,,700307,,,,,,,,,,,,,,,,,,,,,,,,,Mozzarella,7,Dairy
,,,400914,,,,,,,,,,,,,,,,,,,,,,,,,Fries,14,Fast Food
,400916,369,400804,,,,,,,,,,,,,,,,,,,,,,,,Steak & Blue Cheese Sandwich,Toast,4,Baked Dish
,,,400427,,,,,,,,,,,,,,,,,,,,,,,,,Delmonico Steak,27,Grilled Dish
,,,700309,,,,,,,,,,,,,,,,,,,,,,,,,Blue Cheese,9,Dairy
2003,400401,2,700902,,,,,,,,,,,,,,,,,,,,,,,Grill,Grilled Sausage,Fresh Sausage,2,Red Meat
,400402,4,700903,,,,,,,,,,,,,,,,,,,,,,,,Grilled Ham,Ham,3,Red Meat
,400403,8,700904,,,,,,,,,,,,,,,,,,,,,,,,Grilled Pork Belly,Pork Belly,4,Red Meat
,400404,16,700905,,,,,,,,,,,,,,,,,,,,,,,,Grilled Pork Knuckle,Pork Knuckle,5,Red Meat
,400405,32,700906,,,,,,,,,,,,,,,,,,,,,,,,Grilled Pork Ribs,Pork Ribs,6,Red Meat
,400407,256,700907,,,,,,,,,,,,,,,,,,,,,,,,Beef Steak & Potato,Beef Tenderloin,7,Red Meat
,,,701106,,,,,,,,,,,,,,,,,,,,,,,,,Potato,6,Vegetable
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,400408,4,701003,,,,,,,,,,,,,,,,,,,,,,,,Grilled Chicken Wing,Chicken Wing,3,Poultry
,400409,16,701005,,,,,,,,,,,,,,,,,,,,,,,,Grilled Chicken,Whole Chicken,5,Poultry
,400410,2,701002,,,,,,,,,,,,,,,,,,,,,,,,Grilled Chicken Breast,Chicken Breast,2,Poultry
,400411,8,701004,,,,,,,,,,,,,,,,,,,,,,,,Grilled Chicken Drumstick,Chicken Drumstick,4,Poultry
,400412,20,701103,,,,,,,,,,,,,,,,,,,,,,,,Grilled Red Onion and Bell Pepper,Red Onion,3,Vegetable
,,,701105,,,,,,,,,,,,,,,,,,,,,,,,,Bell Pepper,5,Vegetable
,400413,48,701106,,,,,,,,,,,,,,,,,,,,,,,,Grilled Potato Cheese,Potato,6,Vegetable
,,,700305,,,,,,,,,,,,,,,,,,,,,,,,,Cheddar Cheese,5,Dairy
,400414,64,701207,,,,,,,,,,,,,,,,,,,,,,,,Grilled Cauliflower,Cauliflower,7,Leafy Vegetable
,400415,64,701107,,,,,,,,,,,,,,,,,,,,,,,,Grilled Eggplant,Eggplant,7,Vegetable
,400416,8,701404,,,,,,,,,,,,,,,,,,,,,,,,Grilled Squid,Squid,4,Shellfish
,400417,16,701405,,,,,,,,,,,,,,,,,,,,,,,,Grilled Shrimp,Shrimp,5,Shellfish
,400418,64,701407,,,,,,,,,,,,,,,,,,,,,,,,Grilled Octopus,Octopus,7,Shellfish
,400419,8,701304,,,,,,,,,,,,,,,,,,,,,,,,Grilled Sea Bream,Sea Bream,4,Fish
,400420,18,701002,,,,,,,,,,,,,,,,,,,,,,,,Grilled Chicken Breast & Bell Pepper,Chicken Breast,2,Poultry
,,,701105,,,,,,,,,,,,,,,,,,,,,,,,,Bell Pepper,5,Vegetable
,400421,2,701302,,,,,,,,,,,,,,,,,,,,,,,,Grilled Mackerel,Mackerel,2,Fish
,400422,80,701007,,,,,,,,,,,,,,,,,,,,,,,,BBQ Duck,Whole Duck,7,Poultry
,400423,544,701110,,,,,,,,,,,,,,,,,,,,,,,,Grilled falsern,falsern,10,Vegetable
,400424,324,700907,,,,,,,,,,,,,,,,,,,,,,,,Surf & Turf,Beef Tenderloin,7,Red Meat
,,,701409,,,,,,,,,,,,,,,,,,,,,,,,,Lobster,9,Shellfish
,,,700303,,,,,,,,,,,,,,,,,,,,,,,,,Yogurt,3,Dairy
,400425,352,701408,,,,,,,,,,,,,,,,,,,,,,,,Grilled Lemon Butter Scallops And Asparagus,Scallop,8,Shellfish
,,,701108,,,,,,,,,,,,,,,,,,,,,,,,,Asparagus,8,Vegetable
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,400426,1040,701011,,,,,,,,,,,,,,,,,,,,,,,,Grilled Turkey Leg,Turkey,11,Poultry
,,,700605,,,,,,,,,,,,,,,,,,,,,,,,,Honey,5,Sugar & Candy
,400427,64,700907,,,,,,,,,,,,,,,,,,,,,,,,Delmonico Steak,Beef Tenderloin,7,Red Meat
,400406,128,700908,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,400501,1,701001,,,,,,,,,,,,,,,,,,,,,,,Pan,Stir-fried Egg,Chicken Egg,1,Poultry
,400502,1,701401,,,,,,,,,,,,,,,,,,,,,,,,Stir-fried Clam,Clam,1,Shellfish
,400503,200,701408,,,,,,,,,,,,,,,,,,,,,,,,Scallops with Cauliflower,Scallop,8,Shellfish
,,,700904,,,,,,,,,,,,,,,,,,,,,,,,,Pork Belly,4,Red Meat
,,,701207,,,,,,,,,,,,,,,,,,,,,,,,,Cauliflower,7,Leafy Vegetable
,400504,42,701002,,,,,,,,,,,,,,,,,,,,,,,,Creamy Chicken Breast,Chicken Breast,2,Poultry
,,,701206,,,,,,,,,,,,,,,,,,,,,,,,,Brocfalseli,6,Leafy Vegetable
,,,700304,,,,,,,,,,,,,,,,,,,,,,,,,Fresh Cream,4,Dairy
,400505,32,701206,,,,,,,,,,,,,,,,,,,,,,,,Fried Brofalseli,Brocfalseli,6,Leafy Vegetable
,400506,128,701108,,,,,,,,,,,,,,,,,,,,,,,,Fried Asparagus,Asparagus,8,Vegetable
,400507,52,701305,,,,,,,,,,,,,,,,,,,,,,,,Pan-seared falsed with Kale,falsed,5,Fish
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,400508,144,701405,,,,,,,,,,,,,,,,,,,,,,,,Shrimp with Asparagus,Shrimp,5,Shellfish
,,,701108,,,,,,,,,,,,,,,,,,,,,,,,,Asparagus,8,Vegetable
,400509,224,700907,,,,,,,,,,,,,,,,,,,,,,,,Beef Asparagus Stir Fry,Beef Tenderloin,7,Red Meat
,,,701108,,,,,,,,,,,,,,,,,,,,,,,,,Asparagus,8,Vegetable
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,400510,128,701307,,,,,,,,,,,,,,,,,,,,,,,,Fried Salmon,Salmon,7,Fish
,,,700507,,,,,,,,,,,,,,,,,,,,,,,,,Lemon,7,Fruit
,400511,17,701304,,,,,,,,,,,,,,,,,,,,,,,,Citrus Sea Bream,Sea Bream,4,Fish
,,,701103,,,,,,,,,,,,,,,,,,,,,,,,,Red Onion,3,Vegetable
,,,700503,,,,,,,,,,,,,,,,,,,,,,,,,Orange,3,Fruit
,,,701201,,,,,,,,,,,,,,,,,,,,,,,,,Sprouts,1,Leafy Vegetable
,400512,1,700901,,,,,,,,,,,,,,,,,,,,,,,,Pan Fried Patty,Ground Meat,1,Red Meat
,400707,19,401004,,,,,,,,,,,,,,,,,,,,,,,,Donut,Donut Dough,4,Dough
,400901,1032,701111,,,,,,,,,,,,,,,,,,,,,,,,Fried Okra,Okra,11,Vegetable
,,,701504,,,,,,,,,,,,,,,,,,,,,,,,,Corn flour,4,Grain & Legume
,400906,26,400401,,,,,,,,,,,,,,,,,,,,,,,,Corn Dog,Grilled Sausage,1,Grilled Dish
,,,701504,,,,,,,,,,,,,,,,,,,,,,,,,Corn flour,4,Grain & Legume
,,,700305,,,,,,,,,,,,,,,,,,,,,,,,,Cheddar Cheese,5,Dairy
,400907,36,701003,,,,,,,,,,,,,,,,,,,,,,,,Fried Chicken Wings,Chicken Wing,3,Poultry
,,,701506,,,,,,,,,,,,,,,,,,,,,,,,,Breadcrumbs,6,Grain & Legume
,400908,34,701002,,,,,,,,,,,,,,,,,,,,,,,,Fried Chicken Breast,Chicken Breast,2,Poultry
,,,701506,,,,,,,,,,,,,,,,,,,,,,,,,Breadcrumbs,6,Grain & Legume
,400909,40,701004,,,,,,,,,,,,,,,,,,,,,,,,Fried Chicken Drumstick,Chicken Drumstick,4,Poultry
,,,701506,,,,,,,,,,,,,,,,,,,,,,,,,Breadcrumbs,6,Grain & Legume
,400910,48,701005,,,,,,,,,,,,,,,,,,,,,,,,Fried Whole Chicken,Whole Chicken,5,Poultry
,,,701506,,,,,,,,,,,,,,,,,,,,,,,,,Breadcrumbs,6,Grain & Legume
,400911,20,701103,,,,,,,,,,,,,,,,,,,,,,,,Onion Rings,Red Onion,3,Vegetable
,,,701505,,,,,,,,,,,,,,,,,,,,,,,,,Wheat flour,5,Grain & Legume
,400912,64,701106,,,,,,,,,,,,,,,,,,,,,,,,Tator Tots,Potato,6,Vegetable
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,400914,32,400610,,,,,,,,,,,,,,,,,,,,,,,,Fries,Potato Strips,10,Salad & Raw
,400917,11,701504,,,,,,,,,,,,,,,,,,,,,,,,Hush Puppies,Corn flour,4,Grain & Legume
,,,700302,,,,,,,,,,,,,,,,,,,,,,,,,Milk Bottle,2,Dairy
,,,701001,,,,,,,,,,,,,,,,,,,,,,,,,Chicken Egg,1,Poultry
2005,400801,1056,701110,,,,,,,,,,,,,,,,,,,,,,,Oven,falsern with Cheese,falsern,10,Vegetable
,,,700310,,,,,,,,,,,,,,,,,,,,,,,,,Truffle Cheese,10,Dairy
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,400802,17,401001,,,,,,,,,,,,,,,,,,,,,,,,Baked Hotdog Bun,Hot Dog Bun,1,Dough
,400803,19,401002,,,,,,,,,,,,,,,,,,,,,,,,Baked Burger Bun,Burger Bun,2,Dough
,400804,49,401003,,,,,,,,,,,,,,,,,,,,,,,,Toast,Toast Dough,3,Dough
,400806,50,401006,,,,,,,,,,,,,,,,,,,,,,,,Croissant,Croissant Dough,6,Dough
,400807,57,401005,,,,,,,,,,,,,,,,,,,,,,,,Apple Pie,Pie Crust,5,Dough
,,,700504,,,,,,,,,,,,,,,,,,,,,,,,,Apple,4,Fruit
,400808,50,401005,,,,,,,,,,,,,,,,,,,,,,,,Blueberry Pie,Pie Crust,5,Dough
,,,700501,,,,,,,,,,,,,,,,,,,,,,,,,Blueberry,1,Fruit
,400809,68,700505,,,,,,,,,,,,,,,,,,,,,,,,Banana Bread,Banana,5,Fruit
,,,701505,,,,,,,,,,,,,,,,,,,,,,,,,Wheat flour,5,Grain & Legume
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,,,700603,,,,,,,,,,,,,,,,,,,,,,,,,Brown Sugar,3,Sugar & Candy
,400810,64,700306,,,,,,,,,,,,,,,,,,,,,,,,Fudge Brownies,Butter,6,Dairy
,,,701505,,,,,,,,,,,,,,,,,,,,,,,,,Wheat flour,5,Grain & Legume
,,,701704,,,,,,,,,,,,,,,,,,,,,,,,,Dark chocolate,4,Nut & Chocolate
,400811,52,700306,,,,,,,,,,,,,,,,,,,,,,,,Chocolate Chip Cookies,Butter,6,Dairy
,,,700603,,,,,,,,,,,,,,,,,,,,,,,,,Brown Sugar,3,Sugar & Candy
,,,701505,,,,,,,,,,,,,,,,,,,,,,,,,Wheat flour,5,Grain & Legume
7004,401001,17,701505,,,,,,,,,,,,,,,,,,,,,,,Dough Station,Hot Dog Bun,Wheat flour,5,Grain & Legume
,,,700201,,,,,,,,,,,,,,,,,,,,,,,,,Cốc nước lọc,1,Soft Drink
,401002,19,701505,,,,,,,,,,,,,,,,,,,,,,,,Burger Bun,Wheat flour,5,Grain & Legume
,,,700302,,,,,,,,,,,,,,,,,,,,,,,,,Milk Bottle,2,Dairy
,,,701001,,,,,,,,,,,,,,,,,,,,,,,,,Chicken Egg,1,Poultry
,401003,49,701505,,,,,,,,,,,,,,,,,,,,,,,,Toast Dough,Wheat flour,5,Grain & Legume
,,,700201,,,,,,,,,,,,,,,,,,,,,,,,,Cốc nước lọc,1,Soft Drink
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,401004,19,701505,,,,,,,,,,,,,,,,,,,,,,,,Donut Dough,Wheat flour,5,Grain & Legume
,,,700201,,,,,,,,,,,,,,,,,,,,,,,,,Cốc nước lọc,1,Soft Drink
,,,700602,,,,,,,,,,,,,,,,,,,,,,,,,Sugar,2,Sugar & Candy
,401005,49,701505,,,,,,,,,,,,,,,,,,,,,,,,Pie Crust,Wheat flour,5,Grain & Legume
,,,700301,,,,,,,,,,,,,,,,,,,,,,,,,Ice Cube,1,Dairy
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,401006,50,701505,,,,,,,,,,,,,,,,,,,,,,,,Croissant Dough,Wheat flour,5,Grain & Legume
,,,700306,,,,,,,,,,,,,,,,,,,,,,,,,Butter,6,Dairy
,,,700302,,,,,,,,,,,,,,,,,,,,,,,,,Milk Bottle,2,Dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
